num,pron,char,main_mean,tot_stk,main_elem,disused,rad_stk,rad,rad_elem,detail_mean,meaning,stk_info,rad_id,no_rad_stk,rad_mean
114,강,講,익힐,17,金,FALSE,7,言,金,풀이하다; 이야기하다; 익히다; 꾀하다; 토구하다(연구 검토함); 화해하다; 강의,익힐 【강】,총 17획 (부 10획),149,10,말씀언
115,강,強,강할,11,火,FALSE,3,弓,火,강하다; 억지로,강할 【강】,총 11획 (부 8획),57,8,활궁
116,강,强,강할,12,火,FALSE,3,弓,火,강하(게 하)다; 힘쓰(게 하)다; 강요하다; 억지로; 마흔 살; 나머지; 포대기(襁),강할 【강】,총 12획 (부 9획),57,9,활궁
117,강,康,편안할,11,金,FALSE,3,广,木,편안하다; 편안히 하다; 즐겁다; 즐거워하다; 풍년이 들다; 비다; 기리다; 사통오달(四通五達)하는 길,편안할 【강】,총 11획 (부 8획),53,8,엄호엄
118,강,剛,굳셀,10,金,FALSE,2,刀(刂),金,굳세다; 억세다; 강일(十干 중 甲 丙 戊 庚 壬에 해당하는 날 奇數의 날); 바야흐로,굳셀 【강】,총 10획 (부 8획),18,8,칼도
119,강,鋼,강철,16,金,FALSE,8,金,金,강철; 단련(鍛鍊)한 쇠; 단단하다; 굳세다,강철 【강】,총 16획 (부 8획),167,8,쇠금
120,강,鎠,굳셀,18,金,FALSE,8,金,金,"굳세다; 강직하다(剛直--); 억세다; 단단하다; 성하다(盛--: 기운이나 세력이 한창 왕성하다), 한창이다; 강철(鋼鐵)",굳셀 【강】,총 18획 (부 10획),167,10,쇠금
121,강,綱,벼리,14,木,FALSE,6,糸,木,벼리(그물 윗 코를 꿴 굵은 줄. 전하여 사물을 총괄 규제하는 것); 대강; 매다; 다스리다; 줄,벼리 【강】,총 14획 (부 8획),120,8,실사
122,강,杠,깃대,7,木,FALSE,4,木,木,깃대(旗竿); 작은 다리(小橋); 상앞에 가로댄 나무(牀前橫木); 들다(擧),깃대 【강】,총 7획 (부 3획),75,3,나무목
123,강,堈,언덕,11,土,FALSE,3,土,土,언덕; 독; 항아리,언덕 【강】,총 11획 (부 8획),32,8,흙토
124,강,岡,언덕,8,土,FALSE,3,山,土,산 등성이; 언덕,언덕 【강】,총 8획 (부 5획),46,5,뫼산
125,강,崗,언덕,11,土,FALSE,3,山,土,산 등성이; 언덕,언덕 【강】,총 11획 (부 8획),46,8,뫼산
126,강,姜,성,9,土,FALSE,3,女,土,성(姓)(神農氏의 후손의 성),성 【강】,총 9획 (부 6획),38,6,계집녀
127,강,橿,박달나무,17,木,FALSE,4,木,木,박달나무; 호미자루(鋤柄); 곧다; 사다리(棧); 굳세다,박달나무 【강】,총 17획 (부 13획),75,13,나무목
128,강,彊,굳셀,16,火,FALSE,3,弓,火,굳세다; 힘이 센 활; 서로 따르는 모양,굳셀 【강】,총 16획 (부 13획),57,13,활궁
129,강,慷,강개할,15,火,TRUE,4,心,火,강개하다; 의기가 북받쳐 원통해 하고 슬퍼하다,강개할 【강】,총 15획 (부 11획),61,11,마음심
130,강,畺,지경,13,土,FALSE,5,田,土,지경(疆의 古字),지경 【강】,총 13획 (부 8획),102,8,밭전
131,강,疆,지경,19,土,FALSE,5,田,土,지경; 끝; 두둑; 나라; 경계를 설정하다,지경 【강】,총 19획 (부 14획),102,14,밭전
132,강,糠,겨,17,木,FALSE,6,米,木,겨(미곡의 껍질),겨 【강】,총 17획 (부 11획),119,11,쌀미
133,강,絳,진홍색,12,木,FALSE,6,糸,木,진홍색(진한 적색),진홍색 【강】,총 12획 (부 6획),120,6,실사
134,강,羌,오랑캐,8,土,FALSE,6,羊,土,오랑캐(중국 서방의 오랑캐 이름. 티베트족); 아(탄식하는 소리),오랑캐 【강】,총 8획 (부 2획),123,2,양양
135,강,腔,빈속,14,水,FALSE,6,肉(月),水,빈 속(체내의 공허한 곳); 가락 곡조,빈속 【강】,총 14획 (부 8획),130,8,고기육
136,강,舡,오나라배,9,木,FALSE,6,舟,木,(오나라) 배; 선박,오나라배 【강】,총 9획 (부 3획),137,3,배주
137,강,薑,생강,19,木,FALSE,6,艸(艹),木,생강,생강 【강】,총 19획 (부 13획),140,13,풀초
138,강,鱇,아귀,22,水,FALSE,11,魚,水,아귀(아귀과에 속하는 바다 물고기),아귀 【강】,총 22획 (부 11획),195,11,고기어
139,강,嫝,편안할,14,土,FALSE,3,女,土,편안하다(便安--); 여자 이름,편안할 【강】,총 14획 (부 11획),38,11,계집녀
140,강,跭,세울,13,土,FALSE,7,足,土,세우다; 우뚝 솟다; 머뭇거리다,세울 【강】,총 13획 (부 6획),157,6,발족
141,강,襁,포대기,18,木,FALSE,6,衣,木,포대기; (어린애를 업는) 띠; 돈꿰미; (등에)업다,포대기 【강】,총 18획 (부 12획),145,12,옷의
142,강,玒,옥이름,8,金,FALSE,5,玉(王),金,옥 이름,옥이름 【강】,총 8획 (부 3획),96,3,구슬옥
143,강,顜,밝을,19,火,FALSE,9,頁,火,밝다; 바르다; 곱다; 화하다(和--),밝을 【강】,총 19획 (부 10획),181,10,머리혈
144,강,茳,천궁모종,12,木,FALSE,6,艸(艹),木,"천궁(川芎) 모종; 향초 이름; 강토(풀 이름, 돗자리를 만듦); 강리(江籬: 꼬시래기. 꼬시래깃과의 해초(海草))",천궁모종 【강】,총 12획 (부 6획),140,6,풀초
145,강,穅,쌀겨,16,木,FALSE,5,禾,木,겨(곡식의 껍데기); 쌀겨; 매우 작은 것,쌀겨 【강】,총 16획 (부 11획),115,11,벼화
146,개,改,고칠,7,金,FALSE,4,攴(攵),金,고치다(更); 고쳐지다,고칠 【개】,총 7획 (부 3획),66,3,둥글월문
147,개,皆,모두,9,金,TRUE,5,白,金,다; 모두; 두루 미치다.,모두 【개】,총 9획 (부 4획),106,4,흰백
148,개,個,낱,10,火,FALSE,2,人(亻),火,낱(箇),낱 【개】,총 10획 (부 8획),9,8,사람인
149,개,箇,낱,14,木,FALSE,6,竹,木,낱; 이(此); 어조사,낱 【개】,총 14획 (부 8획),118,8,대죽
150,개,開,열,12,木,FALSE,8,門,木,열다; 열리다; 벌리다; 펴다; (꽃 따위가) 피다; 깨우치다; 풀다; 놓아주다,열 【개】,총 12획 (부 4획),169,4,문문
151,개,介,낄,4,火,TRUE,2,人(亻),火,끼다; 격리하다; 돕다; 의뢰하다; 소개하다; 차례; 모시다; 굳다; 묵다; 절개; 갑옷,낄 【개】,총 4획 (부 2획),9,2,사람인
152,개,慨,분개할,15,火,TRUE,4,心,火,분개하다; 슬퍼하다; 분개,분개할 【개】,총 15획 (부 11획),61,11,마음심
153,개,槪,대개,15,木,TRUE,4,木,木,평미레; 평목; 대개; 대강; 절개; 풍채; 느끼다; 개탄하다(慨); 물대다; 씻다(漑),대개 【개】,총 15획 (부 11획),75,11,나무목
154,개,蓋,덮을,16,木,TRUE,6,艸(艹),木,덮다; 숭상하다; 뚜껑 덮개; 일산; 하늘; 대개; 어찌,덮을 【개】,총 16획 (부 10획),140,10,풀초
155,개,盖,덮을,11,金,TRUE,5,皿,金,蓋(덮을 개)의 약자; 덮다; 숭상하다; 뚜껑 덮개; 일산,덮을 【개】,총 11획 (부 6획),108,6,그릇명
156,개,价,착할,6,火,FALSE,2,人(亻),火,마음이 착하다; 사령(심부름하는 사람),착할 【개】,총 6획 (부 4획),9,4,사람인
157,개,凱,승전가,12,水,FALSE,2,几,水,승전했을 때 아뢰는 음악; 이기다; 착하다; 온화하다; 즐겨 하다,승전가 【개】,총 12획 (부 10획),16,10,안석궤
158,개,愷,즐거울,14,火,FALSE,4,心,火,즐거움; 싸움에 이긴 풍류(凱),즐거울 【개】,총 14획 (부 10획),61,10,마음심
159,개,漑,물댈,15,水,FALSE,4,水,水,물을 대다; 씻다 닦다,물댈 【개】,총 15획 (부 11획),85,11,물수
160,개,塏,높은땅,13,土,FALSE,3,土,土,높은 땅; 높고 건조하다.,높은땅 【개】,총 13획 (부 10획),32,10,흙토
